a'	/ˈa/
affermi	/affˈermi/
affermo	/affˈermo/
affermò	/affermˈɔ/
affetti	/affˈɛtti/
affetto	/affˈɛtto/
affettuosa	/affettuˈosa/
affettuosamente	/affettuosamˈente/
affezione	/affetstsjˈone/
affidabilità	/affidabilitˈa/
affine	/affˈine/
afflitta	/afflˈitta/
afflitti	/afflˈitti/
afflitto	/afflˈitto/
afflizione	/afflitstsjˈone/
affogato	/affoɡˈato/
africa	/ˈafrika/
africani	/afrikˈani/
africano	/afrikˈano/
agevole	/adʒˈevole/
agevoli	/adʒˈevoli/
agevolmente	/adʒevolmˈente/
aggia	/ˈadʒdʒa/
aggiunge	/adʒdʒˈundʒe/
aggiungendo	/adʒdʒundʒˈɛndo/
aggiungere	/adʒdʒˈundʒere/
aggiunse	/adʒdʒˈunse/
aggiunsero	/adʒdʒˈunsero/
aggiunta	/adʒdʒˈunta/
aggiunto	/adʒdʒˈunto/
agguagliare	/aɡɡwaʎʎˈare/
agio	/ˈadʒo/
agli	/ˈaʎʎi/
agnolo	/ˈaɲɲolo/
agostino	/aɡostˈino/
agresti	/aɡrˈɛsti/
agricoltori	/aɡrikoltˈori/
aguti	/aɡˈuti/
ah	/ˈa/
ahi	/ˈai/
ahimè	/aimˈɛ/
ai	/ˈai/
aiuta	/ajˈuta/
aiutare	/ajutˈare/
aiutata	/ajutˈata/
aiutato	/ajutˈato/
aiuterà	/ajuterˈa/
aiuti	/ajˈuti/
aiuto	/ajˈuto/
al	/ˈal/
alba	/ˈalba/
albergare	/alberɡˈare/
albergato	/alberɡˈato/
albergo	/albˈɛrɡo/
alberi	/ˈalberi/
alberico	/alberˈiko/
albero	/ˈalbero/
alberto	/albˈɛrto/
alcione	/altʃˈone/
alcmena	/alkmˈɛna/
alcuna	/alkˈuna/
alcune	/alkˈune/
alcuni	/alkˈuni/
alcuno	/alkˈuno/
aldo	/ˈaldo/
alessandria	/alessˈandrja/
alessandro	/alessˈandro/
aletto	/alˈetto/
alfeo	/alfˈɛo/
ali	/ˈali/
alighieri	/aliɡjˈɛri/
alla	/ˈalla/
allato	/allˈato/
alle	/ˈalle/
alleanza	/alleˈantsa/
alleggiamento	/alledʒdʒamˈento/
allegra	/allˈeɡra/
allegrezza	/alleɡrˈetstsa/
allegri	/allˈeɡri/
allegro	/allˈeɡro/
allevati	/allevˈati/
allevato	/allevˈato/
allo	/ˈallo/
allora	/allˈora/
allorchè	/allorkˈɛ/
allori	/allˈɔri/
alloro	/allˈɔro/
almeno	/almˈeno/
alquanta	/alkwˈanta/
alquante	/alkwˈante/
alquanti	/alkwˈanti/
alquanto	/alkwˈanto/
alta	/ˈalta/
altamente	/altamˈente/
altare	/altˈare/
altari	/altˈari/
alte	/ˈalte/
altezza	/altˈetstsa/
alti	/ˈalti/
altissima	/altˈissima/
altissime	/altˈissime/
altissimi	/altˈissimi/
altissimo	/altˈissimo/
alto	/ˈalto/
altra	/ˈaltra/
altramenti	/altramˈenti/
altre	/ˈaltre/
altresì	/altresˈi/
altressì	/altressˈi/
altrettante	/altrettˈante/
altrettanto	/altrettˈanto/
altri	/ˈaltri/
altrimenti	/altrimˈenti/
altro	/ˈaltro/
altronde	/altrˈonde/
altrove	/altrˈove/
altrui	/altrˈui/
alvise	/alvˈize/
alza	/ˈaltsa/
alzata	/altsˈata/
alzato	/altsˈato/
alzò	/altsˈɔ/
ama	/ˈama/
amai	/amˈai/
amando	/amˈando/
amano	/ˈamano/
amante	/amˈante/
amanti	/amˈanti/
amara	/amˈara/
amaramente	/amaramˈente/
amare	/amˈare/
amarezza	/amarˈetstsa/
amaro	/amˈaro/
amasse	/amˈasse/
amassi	/amˈassi/
amata	/amˈata/
amate	/amˈate/
amati	/amˈati/
amato	/amˈato/
amatore	/amatˈore/
amava	/amˈava/
amazzone	/amˈadzdzone/
ambasciata	/ambaʃʃˈata/
ambasciate	/ambaʃʃˈate/
amendue	/amendˈue/
amenduni	/amendˈuni/
amerigo	/amerˈiɡo/
amerò	/amerˈɔ/
ami	/ˈami/
amiamo	/amjˈamo/
amica	/amˈika/
amiche	/amˈike/
amichevolmente	/amikevolmˈente/
amici	/amˈitʃi/
amicizia	/amitʃˈitstsja/
amico	/amˈiko/
amistà	/amistˈa/
ammaestramenti	/ammaestramˈenti/
ammaestrati	/ammaestrˈati/
ammaestrato	/ammaestrˈato/
ammaestrò	/ammaestrˈɔ/
ammazzò	/ammatstsˈɔ/
ammenda	/ammˈɛnda/
ammirazione	/ammiratstsjˈone/
amo	/ˈamo/
amò	/amˈɔ/
amore	/amˈore/
amori	/amˈori/
amorosa	/amorˈosa/
amorosamente	/amorosamˈente/
amorose	/amorˈose/
amorosi	/amorˈosi/
amoroso	/amorˈoso/
ampi	/ˈampi/
ampia	/ˈampja/
ampiamente	/ampjamˈente/
ampie	/ˈampje/
ampio	/ˈampjo/
anche	/ˈaŋke/
anco	/ˈaŋko/
ancora	/aŋkˈora/
andai	/andˈai/
andando	/andˈando/
andare	/andˈare/
andarono	/andˈarono/
andasse	/andˈasse/
andassero	/andˈassero/
andata	/andˈata/
andate	/andˈate/
andati	/andˈati/
andato	/andˈato/
andava	/andˈava/
andavano	/andˈavano/
andiamo	/andjˈamo/
andò	/andˈɔ/
andrà	/andrˈa/
andrebbe	/andrˈɛbbe/
andrò	/andrˈɔ/
andromaca	/andrˈɔmaka/
andromeda	/andrˈɔmeda/
anella	/anˈɛlla/
anello	/anˈɛllo/
anfitrione	/anffitriˈone/
angeli	/ˈandʒeli/
angelo	/ˈandʒelo/
angolo	/ˈaŋɡolo/
angoscia	/aŋɡˈɔʃʃa/
angosciosa	/aŋɡoʃʃˈosa/
angoscioso	/aŋɡoʃʃˈoso/
anima	/ˈanima/
animale	/animˈale/
animali	/animˈali/
anime	/anˈime/
animi	/anˈimi/
animo	/ˈanimo/
animosamente	/animosamˈente/
animoso	/animˈoso/
annali	/annˈali/
anni	/ˈanni/
anno	/ˈanno/
annoverare	/annoverˈare/
ansaldo	/ansˈaldo/
anselmo	/ansˈɛlmo/
antecessori	/antetʃessˈori/
antica	/antˈika/
anticamente	/antikamˈente/
antiche	/antˈike/
antichi	/antˈiki/
antichissima	/antikˈissima/
antichissimi	/antikˈissimi/
antichissimo	/antikˈissimo/
antichità	/antikitˈa/
antico	/antˈiko/
antiopa	/antˈiopa/
antonio	/antˈɔnjo/
antri	/ˈantri/
anzi	/ˈantsi/
aperse	/apˈɛrse/
aperta	/apˈɛrta/
apertamente	/apertamˈente/
aperte	/apˈɛrte/
aperti	/apˈɛrti/
aperto	/apˈɛrto/
api	/ˈapi/
apollo	/apˈɔllo/
apostoli	/apˈɔstoli/
apostolo	/apˈɔstolo/
appaia	/appaia/
appaiono	/appˈajono/
apparato	/apparˈato/
appare	/appˈare/
apparecchiare	/apparekkjˈare/
apparecchiata	/apparekkjˈata/
apparecchiate	/apparekkjˈate/
apparecchiati	/apparekkjˈati/
apparecchiato	/apparekkjˈato/
apparecchiò	/apparekkjˈɔ/
apparenza	/apparˈɛntsa/
apparire	/apparˈire/
apparisce	/apparˈiʃʃe/
apparisse	/apparˈisse/
appariva	/apparˈiva/
appartenenti	/appartenˈɛnti/
appartiene	/appartjˈɛne/
apparve	/appˈarve/
appena	/appˈena/
appetiti	/appetˈiti/
appetito	/appetˈito/
appiccato	/appikkˈato/
apporta	/appˈɔrta/
apprendere	/apprˈɛndere/
appreso	/apprˈeso/
appresso	/apprˈɛsso/
apprestare	/apprestˈare/
appunto	/appˈunto/
apri	/ˈapri/
aprì	/aprˈi/
aprire	/aprˈire/
aquila	/ˈakwila/
arbitrio	/arbˈitrjo/
arca	/ˈarka/
arcade	/ˈarkade/
arcadi	/ˈarkadi/
archi	/ˈarki/
arco	/ˈarko/
arde	/ˈarde/
ardendo	/ardˈɛndo/
ardente	/ardˈɛnte/
ardenti	/ardˈɛnti/
ardentissimo	/ardentˈissimo/
ardere	/ˈardere/
ardesse	/ardˈesse/
ardeva	/ardˈeva/
ardire	/ardˈire/
ardita	/ardˈita/
arditamente	/arditamˈente/
arditi	/ardˈiti/
ardito	/ardˈito/
ardiva	/ardˈiva/
ardo	/ˈardo/
ardore	/ardˈore/
arene	/arˈene/
argivi	/ardʒˈivi/
argomentare	/arɡomentˈare/
argomenti	/arɡomˈenti/
argomento	/arɡomˈento/
argonauti	/arɡonˈauti/
aria	/ˈarja/
arianna	/arjˈanna/
armare	/armˈare/
armata	/armˈata/
armati	/armˈati/
armato	/armˈato/
arme	/ˈarme/
armenti	/armˈenti/
armi	/ˈarmi/
armonia	/armonˈia/
arnese	/arnˈese/
arnesi	/arnˈesi/
arpie	/arpˈie/
arrigo	/arrˈiɡo/
arrivare	/arrivˈare/
arrivata	/arrivˈata/
arrivato	/arrivˈato/
arrivò	/arrivˈɔ/
arsa	/ˈarsa/
arse	/ˈarse/
arsi	/ˈarsi/
arso	/ˈarso/
arte	/ˈarte/
artefice	/artˈefitʃe/
artefici	/artˈefitʃi/
arti	/ˈarti/
articoli	/artˈikoli/
articolo	/artˈikolo/
artificio	/artifˈitʃo/
ascanio	/askˈanjo/
ascendente	/aʃʃendˈɛnte/
ascolta	/askˈolta/
ascoltando	/askoltˈando/
ascoltanti	/askoltˈanti/
ascoltare	/askoltˈare/
ascoltata	/askoltˈata/
ascoltate	/askoltˈate/
ascoltato	/askoltˈato/
ascoltava	/askoltˈava/
ascoltò	/askoltˈɔ/
asia	/ˈazja/
asini	/ˈasini/
asino	/ˈasino/
aspetta	/aspˈɛtta/
aspettando	/aspettˈando/
aspettare	/aspettˈare/
aspettata	/aspettˈata/
aspettato	/aspettˈato/
aspettava	/aspettˈava/
aspetti	/aspˈɛtti/
aspetto	/aspˈɛtto/
aspettò	/aspettˈɔ/
aspra	/ˈaspra/
aspramente	/aspramˈente/
aspre	/ˈaspre/
asprezza	/asprˈetstsa/
aspri	/ˈaspri/
aspro	/ˈaspro/
assai	/assˈai/
assalire	/assalˈire/
assalita	/assalˈita/
assaliti	/assalˈiti/
assalito	/assalˈito/
assalitori	/assalitˈori/
assalti	/assˈalti/
assalto	/assˈalto/
assenza	/assˈɛntsa/
assetto	/assˈɛtto/
assiri	/assˈiri/
assolutamente	/assolutamˈente/
assunto	/assˈunto/
astrea	/astrˈɛa/
astrologhi	/astrˈɔloɡi/
atta	/ˈatta/
atte	/ˈatte/
attempati	/attempˈati/
attempato	/attempˈato/
attendendo	/attendˈɛndo/
attendere	/attˈɛndere/
attendeva	/attendˈeva/
attenta	/attˈɛnta/
attentamente	/attentamˈente/
attento	/attˈɛnto/
attenzione	/attentsjˈone/
attese	/attˈese/
atteso	/attˈeso/
atti	/ˈatti/
atto	/ˈatto/
attorno	/attˈorno/
attratto	/attrˈatto/
attraverso	/attravˈɛrso/
attribuire	/attribuˈire/
attribuiscono	/attribuˈiskono/
attribuita	/attribuˈita/
attribuite	/attribuˈite/
attribuiti	/attribuˈiti/
attribuito	/attribuˈito/
audaci	/audˈatʃi/
auguri	/auɡˈuri/
augurio	/auɡˈurjo/
augusto	/auɡˈusto/
aura	/ˈaura/
aure	/ˈaure/
aurora	/aurˈɔra/
ausonio	/auzˈɔnjo/
austro	/ˈaustro/
autore	/autˈore/
autori	/autˈori/
autorità	/autoritˈa/
autunno	/autˈunno/
avanti	/avˈanti/
avari	/avˈari/
avarizia	/avarˈitstsja/
avaro	/avˈaro/
avea	/avˈea/
avello	/avˈɛllo/
avemo	/avˈemo/
avendo	/avˈɛndo/
aventino	/aventˈino/
avere	/avˈere/
averla	/avˈɛrla/
avesse	/avˈesse/
avessero	/avˈessero/
avessi	/avˈessi/
aveste	/avˈeste/
avesti	/avˈesti/
avete	/avˈete/
aveva	/avˈeva/
avevano	/avˈevano/
avevi	/avˈevi/
avevo	/avˈevo/
avezzi	/avˈetstsi/
avezzo	/avˈetstso/
avo	/ˈavo/
avoli	/avˈɔli/
avrà	/avrˈa/
avrai	/avrˈai/
avranno	/avrˈanno/
avrebbe	/avrˈɛbbe/
avrebbero	/avrˈɛbbero/
avrei	/avrˈɛi/
avremmo	/avrˈemmo/
avremo	/avrˈemo/
avreste	/avrˈeste/
avresti	/avrˈesti/
avrete	/avrˈete/
avria	/avrˈia/
avrò	/avrˈɔ/
avuta	/avˈuta/
avute	/avˈute/
avuti	/avˈuti/
avuto	/avˈuto/
avveduto	/avvedˈuto/
avvegna	/ˈavveɲɲa/
avvelenare	/avvelenˈare/
avvenga	/avvˈɛŋɡa/
avvenimenti	/avvenimˈenti/
avvenimento	/avvenimˈento/
avvenire	/avvenˈire/
avvenisse	/avvenˈisse/
avveniva	/avvenˈiva/
avvenne	/avvˈenne/
avvenuta	/avvenˈuta/
avvenute	/avvenˈute/
avvenuto	/avvenˈuto/
avverrà	/avverrˈa/
avversarii	/avversˈarji/
avversario	/avversˈarjo/
avversi	/avvˈɛrsi/
avversità	/avversitˈa/
avviene	/avviˈɛne/
avviso	/avvˈizo/
azione	/atstsjˈone/
azioni	/atstsjˈoni/
babilonia	/babilˈɔnja/
baciare	/batʃˈare/
baciata	/batʃˈata/
baciava	/batʃˈava/
baci	/ˈbatʃi/
bacio	/batʃˈio/
baciò	/batʃˈɔ/
badessa	/badˈessa/
bagnare	/baɲɲˈare/
bagnata	/baɲɲˈata/
bagnato	/baɲɲˈato/
bagni	/ˈbaɲɲi/
bagno	/ˈbaɲɲo/
bagnò	/baɲɲˈɔ/
balene	/balˈene/
balia	/ˈbalja/
balli	/ˈballi/
ballo	/ˈballo/
banco	/ˈbaŋko/
bandiera	/bandjˈɛra/
bandiere	/bandjˈɛre/
bando	/ˈbando/
barattiere	/barattjˈɛre/
barba	/ˈbarba/
barbari	/ˈbarbari/
barbaro	/ˈbarbaro/
barchetta	/barkˈetta/
barone	/barˈone/
baroni	/barˈoni/
bassa	/ˈbassa/
basse	/ˈbasse/
bassi	/ˈbassi/
basso	/ˈbasso/
basta	/ˈbasta/
bastanti	/bastˈanti/
bastardo	/bastˈardo/
bastare	/bastˈare/
bastasse	/bastˈasse/
bastava	/bastˈava/
basterà	/basterˈa/
bastevole	/bastˈevole/
basti	/ˈbasti/
bastone	/bastˈone/
battaglia	/battˈaʎʎa/
battaglie	/battˈaʎʎe/
batte	/ˈbatte/
battere	/ˈbattere/
battesimo	/battˈezimo/
battitura	/battitˈura/
battiture	/battitˈure/
batto	/ˈbatto/
battuta	/battˈuta/
battuto	/battˈuto/
beata	/beˈata/
beati	/beˈati/
beatitudine	/beatitˈudine/
beato	/beˈato/
beatrice	/beatrˈitʃe/
beffa	/ˈbɛffa/
beffare	/beffˈare/
beffati	/beffˈati/
beffato	/beffˈato/
beffe	/ˈbɛffe/
begli	/ˈbɛʎʎi/
bel	/ˈbɛl/
bella	/ˈbɛlla/
belle	/ˈbɛlle/
bellezza	/bellˈetstsa/
bellezze	/bellˈetstse/
belli	/ˈbɛlli/
bellissima	/bellˈissima/
bellissime	/bellˈissime/
bellissimi	/bellˈissimi/
bellissimo	/bellˈissimo/
bello	/ˈbɛllo/
belo	/ˈbɛlo/
benché	/beŋkˈe/
bene	/ˈbɛne/
benedetta	/benedˈetta/
benedetto	/benedˈetto/
benedizione	/beneditstsjˈone/
benefici	/benefˈitʃi/
beneficio	/benefˈitʃo/
benevento	/ˈbɛnevɛnto/
beni	/ˈbɛni/
benigna	/benˈiɲɲa/
benignamente	/beniɲɲamˈente/
benigni	/benˈiɲɲi/
benignità	/beniɲɲitˈa/
benigno	/benˈiɲɲo/
benissimo	/benˈissimo/
bensì	/bensˈi/
bere	/ˈbere/
berenice	/berenˈitʃe/
bernardo	/bernˈardo/
bestia	/ˈbestja/
bestiale	/bestjˈale/
bestialità	/bestjalitˈa/
bestie	/ˈbestje/
bevanda	/bevˈanda/
bevendo	/bevˈɛndo/
beveraggio	/beverˈadʒdʒo/
bevitori	/bevitˈori/
bevuto	/bevˈuto/
bevve	/ˈbevve/
biade	/bjˈade/
bianca	/bjˈaŋka/
bianche	/bjˈaŋke/
bianchezza	/bjaŋkˈetstsa/
bianchi	/bjˈaŋki/
bianchissima	/bjaŋkˈissima/
bianchissime	/bjaŋkˈissime/
bianco	/bjˈaŋko/
biante	/biˈante/
biasimando	/bjazimˈando/
biasimare	/bjazimˈare/
biasimato	/bjazimˈato/
biasimo	/bjˈazimo/
biblioteca	/bibljotˈɛka/
bicchiere	/bikkjˈɛre/
bicchieri	/bikkjˈɛri/
bionda	/bjˈonda/
biondi	/bjˈondi/
bisanti	/bizˈanti/
bisogna	/bizˈoɲɲa/
bisognano	/bizˈoɲɲano/
bisognasse	/bizoɲɲˈasse/
bisognava	/bizoɲɲˈava/
bisogne	/bizˈoɲɲe/
bisognerà	/bizoɲɲerˈa/
bisognerebbe	/bizoɲɲerˈɛbbe/
bisogni	/bizˈoɲɲi/
bisogno	/bizˈoɲɲo/
bocca	/ˈbokka/
bocche	/ˈbokke/
bologna	/bolˈɔɲɲa/
bolognese	/boloɲɲˈese/
bonaparte	/ˈbɔnaparte/
bontà	/bontˈa/
borea	/ˈbɔrea/
borgo	/ˈborɡo/
boschi	/ˈbɔski/
bosco	/ˈbɔsko/
bovio	/ˈbɔvjo/
braccia	/brˈatʃtʃa/
braccio	/brˈatʃtʃo/
brache	/brˈake/
brava	/brˈava/
bravo	/brˈavo/
breve	/brˈɛve/
brevemente	/brevemˈente/
brevi	/brˈɛvi/
brevissimo	/brevˈissimo/
brevità	/brevitˈa/
brieve	/brjˈɛve/
brievemente	/brjevemˈente/
brievi	/brjˈɛvi/
brigata	/briɡˈata/
brigate	/briɡˈate/
bronzo	/brˈondzo/
brun	/brˈun/
bruno	/brˈuno/
bruti	/brˈuti/
bruto	/brˈuto/
brutta	/brˈutta/
brutto	/brˈutto/
bruttura	/bruttˈura/
bucolica	/bukˈɔlika/
bue	/ˈbue/
bugiardi	/budʒˈardi/
bugiardo	/budʒˈardo/
buio	/ˈbujo/
buoi	/bwˈɔi/
buona	/bwˈɔna/
buone	/bwˈɔne/
buoni	/bwˈɔni/
buono	/bwˈɔno/
bus	/ˈbus/
busto	/ˈbusto/
caccia	/ˈkatʃtʃa/
cacciando	/katʃtʃˈando/
cacciare	/katʃtʃˈare/
cacciata	/katʃtʃˈata/
cacciate	/katʃtʃˈate/
cacciati	/katʃtʃˈati/
cacciato	/katʃtʃˈato/
cacciatore	/katʃtʃatˈore/
cacciatori	/katʃtʃatˈori/
cacciò	/katʃtʃˈɔ/
caco	/ˈkako/
cadde	/ˈkadde/
caddero	/ˈkaddero/
cade	/ˈkade/
cadendo	/kadˈɛndo/
cadere	/kadˈere/
cadesse	/kadˈesse/
cadono	/ˈkadono/
caduca	/kadˈuka/
caduco	/kadˈuko/
caduta	/kadˈuta/
caduti	/kadˈuti/
caduto	/kadˈuto/
caffè	/kaffˈɛ/
cagione	/kadʒˈone/
cagioni	/kadʒˈoni/
cagnolino	/kaɲɲolˈino/
calai	/kalˈai/
calandrino	/kalˈandrino/
calda	/ˈkalda/
calde	/ˈkalde/
caldi	/ˈkaldi/
caldo	/ˈkaldo/
calere	/kalˈere/
calesse	/kalˈɛsse/
calido	/ˈkalido/
caligine	/kalˈidʒine/
calisto	/kalˈisto/
calma	/ˈkalma/
calore	/kalˈore/
cambiato	/kambjˈato/
cambiò	/kambjˈɔ/
camicia	/kamˈitʃa/
camminando	/kamminˈando/
cammino	/kammˈino/
campagna	/kampˈaɲɲa/
campagne	/kampˈaɲɲe/
campa	/ˈkampa/
campare	/kampˈare/
campidoglio	/kampidˈɔʎʎo/
campi	/ˈkampi/
campo	/ˈkampo/
canale	/kanˈale/
candia	/ˈkandja/
candidi	/ˈkandidi/
candido	/ˈkandido/
cane	/ˈkane/
cani	/ˈkani/
can	/ˈkan/
cannelle	/kannˈɛlle/
canta	/ˈkanta/
cantando	/kantˈando/
cantano	/ˈkantano/
cantare	/kantˈare/
cantarono	/kantˈarono/
cantate	/kantˈate/
cantava	/kantˈava/
cantavano	/kantˈavano/
canti	/ˈkanti/
canto	/ˈkanto/
cantò	/kantˈɔ/
canzone	/kantsˈone/
canzonette	/kantsonˈette/
canzoni	/kantsˈoni/
capace	/kapˈatʃe/
capanne	/kapˈanne/
capelli	/kapˈelli/
capello	/kapˈello/
capevole	/kapˈevole/
capi	/ˈkapi/
capire	/kapˈire/
capita	/kapˈita/
capitale	/kapitˈale/
capitani	/kapitˈani/
capitano	/kapitˈano/
capitavano	/kapitˈavano/
capitò	/kapitˈɔ/
capitoli	/kapˈitoli/
capitolo	/kapˈitolo/
capo	/ˈkapo/
cappa	/ˈkappa/
cappello	/kappˈɛllo/
capponi	/kappˈoni/
cappuccio	/kappˈutʃtʃo/
capra	/ˈkapra/
cara	/ˈkara/
carattere	/karˈattere/
caratteri	/karˈatteri/
carboni	/karbˈoni/
carcere	/ˈkartʃere/
cardinale	/kardinˈale/
cardinali	/kardinˈali/
care	/ˈkare/
carezze	/karˈetstse/
carico	/ˈkariko/
cari	/ˈkari/
carissima	/karˈissima/
carissime	/karˈissime/
carissimo	/karˈissimo/
carità	/karitˈa/
carlo	/ˈkarlo/
carnale	/karnˈale/
carne	/ˈkarne/
carni	/ˈkarni/
caro	/ˈkaro/
carretta	/karrˈetta/
carrette	/karrˈette/
carro	/ˈkarro/
carrozza	/karrˈɔtstsa/
carrozzino	/karrotstsˈino/
carta	/ˈkarta/
carte	/ˈkarte/
casa	/ˈkasa/
case	/ˈkase/
casi	/ˈkazi/
caso	/ˈkazo/
cassa	/ˈkassa/
cassetta	/kassˈetta/
casta	/ˈkasta/
castaldo	/kastˈaldo/
castellano	/kastellˈano/
castello	/kastˈɛllo/
castità	/kastitˈa/
casto	/ˈkasto/
catella	/katˈɛlla/
catena	/katˈena/
catene	/katˈene/
caterina	/katerˈina/
catone	/katˈone/
cattaneo	/kattˈaneo/
cattiva	/kattˈiva/
cattive	/kattˈive/
cattivella	/kattivˈɛlla/
cattivi	/kattˈivi/
cattività	/kattivitˈa/
cattivo	/kattˈivo/
cattolica	/kattˈɔlika/
causa	/ˈkauza/
causato	/kauzˈato/
cause	/ˈkauze/
cautamente	/kautamˈente/
cautela	/kautˈɛla/
cavalcando	/kavalkˈando/
cavalcanti	/kavalkˈanti/
cavalcare	/kavalkˈare/
cavalcarono	/kavalkˈarono/
cavalcava	/kavalkˈava/
cavaliere	/kavaljˈɛre/
cavalieri	/kavaljˈɛri/
cavalla	/kavˈalla/
cavalli	/kavˈalli/
cavallino	/kavallˈino/
cavallo	/kavˈallo/
cavare	/kavˈare/
cavata	/kavˈata/
cavati	/kavˈati/
cavato	/kavˈato/
cave	/ˈkave/
caverne	/kavˈɛrne/
cavò	/kavˈɔ/
cecità	/tʃetʃitˈa/
cedere	/ˈtʃɛdere/
cefalo	/ˈtʃɛfalo/
celebrare	/tʃelebrˈare/
celebrato	/tʃelebrˈato/
celebravano	/tʃelebrˈavano/
celeste	/tʃelˈɛste/
celestiale	/tʃelestjˈale/
celestiali	/tʃelestjˈali/
celesti	/tʃelˈɛsti/
celio	/ˈtʃɛljo/
celi	/ˈtʃɛli/
cella	/ˈtʃɛlla/
cenare	/tʃenˈare/
cenarono	/tʃenˈarono/
cenato	/tʃenˈato/
cena	/ˈtʃena/
cenere	/ˈtʃenere/
ceneri	/ˈtʃeneri/
cenno	/ˈtʃenno/
cenò	/tʃenˈɔ/
centauri	/tʃentˈauri/
centauro	/tʃentˈauro/
cento	/ˈtʃɛnto/
centro	/ˈtʃɛntro/
c'era	/ˈtʃera/
cera	/ˈtʃera/
cerbero	/ˈtʃɛrbero/
cercai	/tʃerkˈai/
cercando	/tʃerkˈando/
